,Date,INR=X
0,2017-01-02,67.9448013305664
1,2017-01-03,68.13390350341797
2,2017-01-04,68.2697982788086
3,2017-01-05,67.885498046875
4,2017-01-06,67.73300170898438
5,2017-01-09,68.1426010131836
6,2017-01-10,68.09700012207031
7,2017-01-11,68.31800079345703
8,2017-01-12,68.13999938964844
9,2017-01-13,68.12950134277344
10,2017-01-16,68.15779876708984
11,2017-01-17,68.09459686279297
12,2017-01-18,67.89949798583984
13,2017-01-19,68.197998046875
14,2017-01-20,68.09030151367188
15,2017-01-23,68.07720184326172
16,2017-01-24,68.05139923095703
17,2017-01-25,68.16449737548828
18,2017-01-26,67.9729995727539
19,2017-01-27,68.14900207519531
20,2017-01-30,68.11000061035156
21,2017-01-31,67.82099914550781
22,2017-02-01,67.50160217285156
23,2017-02-02,67.39540100097656
24,2017-02-03,67.2656021118164
25,2017-02-06,67.15730285644531
26,2017-02-07,67.19529724121094
27,2017-02-08,67.34049987792969
28,2017-02-09,66.96430206298828
29,2017-02-10,66.74530029296875
30,2017-02-13,66.84369659423828
31,2017-02-14,66.91539764404297
32,2017-02-15,66.7759017944336
33,2017-02-16,66.8655014038086
34,2017-02-17,67.16480255126953
35,2017-02-20,67.06520080566406
36,2017-02-21,66.96499633789062
37,2017-02-22,66.96510314941406
38,2017-02-23,66.91429901123047
39,2017-02-24,66.68280029296875
40,2017-02-27,66.63500213623047
41,2017-02-28,66.69319915771484
42,2017-03-01,66.7051010131836
43,2017-03-02,66.85800170898438
44,2017-03-03,66.84510040283203
45,2017-03-06,66.77300262451172
46,2017-03-07,66.66470336914062
47,2017-03-08,66.61620330810547
48,2017-03-09,66.76499938964844
49,2017-03-10,66.68049621582031
50,2017-03-13,66.48500061035156
51,2017-03-14,66.17009735107422
52,2017-03-15,65.77510070800781
53,2017-03-16,65.62049865722656
54,2017-03-17,65.40450286865234
55,2017-03-20,65.46810150146484
56,2017-03-21,65.33529663085938
57,2017-03-22,65.49500274658203
58,2017-03-23,65.36499786376953
59,2017-03-24,65.44439697265625
60,2017-03-27,65.39309692382812
61,2017-03-28,65.04499816894531
62,2017-03-29,65.11000061035156
63,2017-03-30,64.77999877929688
64,2017-03-31,64.79000091552734
65,2017-04-03,64.79669952392578
66,2017-04-04,64.87750244140625
67,2017-04-05,65.05000305175781
68,2017-04-06,65.04000091552734
69,2017-04-07,64.58000183105469
70,2017-04-10,64.26000213623047
71,2017-04-11,64.57499694824219
72,2017-04-12,64.62999725341797
73,2017-04-13,64.5
74,2017-04-14,64.44999694824219
75,2017-04-17,64.45369720458984
76,2017-04-18,64.4083023071289
77,2017-04-19,64.56999969482422
78,2017-04-20,64.64669799804688
79,2017-04-21,64.66000366210938
80,2017-04-24,64.63999938964844
81,2017-04-25,64.38999938964844
82,2017-04-26,64.3499984741211
83,2017-04-27,64.0199966430664
84,2017-04-28,64.05999755859375
85,2017-05-01,64.25830078125
86,2017-05-02,64.18000030517578
87,2017-05-03,64.06999969482422
88,2017-05-04,64.20999908447266
89,2017-05-05,64.16999816894531
90,2017-05-08,64.30799865722656
91,2017-05-09,64.41179656982422
92,2017-05-10,64.63999938964844
93,2017-05-11,64.55000305175781
94,2017-05-12,64.36000061035156
95,2017-05-15,64.16549682617188
96,2017-05-16,64.03829956054688
97,2017-05-17,63.900001525878906
98,2017-05-18,64.2300033569336
99,2017-05-19,64.87110137939453
100,2017-05-22,64.44850158691406
101,2017-05-23,64.50019836425781
102,2017-05-24,64.88520050048828
103,2017-05-25,64.76010131835938
104,2017-05-26,64.54540252685547
105,2017-05-29,64.51319885253906
106,2017-05-30,64.50859832763672
107,2017-05-31,64.61859893798828
108,2017-06-01,64.5000991821289
109,2017-06-02,64.37229919433594
110,2017-06-05,64.40499877929688
111,2017-06-06,64.34400177001953
112,2017-06-07,64.42050170898438
113,2017-06-08,64.41829681396484
114,2017-06-09,64.243896484375
115,2017-06-12,64.37699890136719
116,2017-06-13,64.46910095214844
117,2017-06-14,64.35749816894531
118,2017-06-15,64.16580200195312
119,2017-06-16,64.55999755859375
120,2017-06-19,64.3949966430664
121,2017-06-20,64.48760223388672
122,2017-06-21,64.53050231933594
123,2017-06-22,64.5416030883789
124,2017-06-23,64.59100341796875
125,2017-06-26,64.49800109863281
126,2017-06-27,64.42130279541016
127,2017-06-28,64.5248031616211
128,2017-06-29,64.51190185546875
129,2017-06-30,64.78510284423828
130,2017-07-03,64.60679626464844
131,2017-07-04,64.84269714355469
132,2017-07-05,64.7688980102539
133,2017-07-06,64.79139709472656
134,2017-07-07,64.71330261230469
135,2017-07-10,64.61170196533203
136,2017-07-12,64.52559661865234
137,2017-07-13,64.36499786376953
138,2017-07-14,64.42579650878906
139,2017-07-17,64.26730346679688
140,2017-07-18,64.33000183105469
141,2017-07-19,64.3062973022461
142,2017-07-20,64.26329803466797
143,2017-07-21,64.32499694824219
144,2017-07-24,64.46109771728516
145,2017-07-25,64.36509704589844
146,2017-07-26,64.4469985961914
147,2017-07-27,64.3447036743164
148,2017-07-28,64.18499755859375
149,2017-07-31,64.12349700927734
150,2017-08-01,64.18949890136719
151,2017-08-02,64.05580139160156
152,2017-08-03,63.64059829711914
153,2017-08-04,63.696998596191406
154,2017-08-07,63.66510009765625
155,2017-08-08,63.8301010131836
156,2017-08-09,63.70289993286133
157,2017-08-10,63.88769912719727
158,2017-08-11,64.13860321044922
159,2017-08-14,64.08100128173828
160,2017-08-15,64.17430114746094
161,2017-08-16,64.26300048828125
162,2017-08-17,64.1604995727539
163,2017-08-18,64.18890380859375
